id,full_name,gender,age,email,phone,education,college,iit_iim_nit,serial_entrepreneur,linkedin_profile,experience_years,prev_company,created_at,updated_at
1,Nikhil Pillai,Male,50,nikhil.pillai99@gmail.com,+91-9238965651,CA,BITS Pilani,Yes,No,https://linkedin.com/in/nikhil-pillai-381,15,Amazon,2019-03-16 07:17:21,2023-11-24 17:05:08
2,Meera Sen,Female,46,meera.sen91@gmail.com,+91-7918920620,M.Tech,IIM Ahmedabad,Yes,No,https://linkedin.com/in/meera-sen-517,11,Ola,2021-03-23 13:03:13,2024-03-06 12:57:49
3,Dinesh Chaudhary,Male,36,dinesh.chaudhary1@gmail.com,+91-8510792572,M.Sc,SRM,No,No,https://linkedin.com/in/dinesh-chaudhary-973,14,Ola,2022-02-14 19:57:14,2024-05-14 07:17:27
4,Rahul Sen,Male,34,rahul.sen93@gmail.com,+91-7708861714,CA,Jadavpur University,No,No,https://linkedin.com/in/rahul-sen-737,18,Google,2020-06-01 18:36:42,2023-01-28 02:41:27
5,Rekha Basu,Female,29,rekha.basu34@gmail.com,+91-8628238707,PhD,IIT Delhi,Yes,No,https://linkedin.com/in/rekha-basu-565,11,Flipkart,2020-04-01 08:48:53,2024-03-07 08:53:05
6,Rahul Modi,Male,25,rahul.modi29@gmail.com,+91-9792347639,M.Tech,Anna University,No,Yes,https://linkedin.com/in/rahul-modi-872,1,TCS,2018-03-27 00:39:09,2023-09-02 04:30:42
7,Shiv Rao,Male,38,shiv.rao99@gmail.com,+91-8584392711,MBA,BITS Pilani,Yes,Yes,https://linkedin.com/in/shiv-rao-896,6,Wipro,2017-03-18 18:01:59,2023-11-16 18:43:58
8,Deepak Menon,Male,26,deepak.menon89@gmail.com,+91-9693985578,B.Sc,XLRI,No,Yes,https://linkedin.com/in/deepak-menon-813,25,Wipro,2023-09-03 19:51:07,2024-08-02 01:22:34
9,Kunal Das,Male,26,kunal.das83@gmail.com,+91-8465576748,B.Tech,Manipal,No,No,https://linkedin.com/in/kunal-das-942,16,Amazon,2020-11-10 11:40:57,2024-04-15 22:09:27
10,Usha Pandya,Female,44,usha.pandya79@gmail.com,+91-9311435034,CA,BITS Pilani,Yes,No,https://linkedin.com/in/usha-pandya-546,24,Paytm,2019-01-04 10:54:15,2023-03-30 08:56:28
11,Kiran Basu,Female,42,kiran.basu86@gmail.com,+91-8627746667,PhD,FMS Delhi,No,Yes,https://linkedin.com/in/kiran-basu-606,11,Infosys,2021-06-20 06:22:51,2023-09-22 10:17:56
12,Harsh Sharma,Male,40,harsh.sharma11@gmail.com,+91-8036616336,B.Com,NIT Trichy,Yes,No,https://linkedin.com/in/harsh-sharma-668,25,TCS,2023-09-29 15:41:45,2024-05-17 14:50:01
13,Rohit Iyer,Male,36,rohit.iyer40@gmail.com,+91-9851686578,B.E,NIT Warangal,Yes,No,https://linkedin.com/in/rohit-iyer-584,18,Ola,2019-11-09 13:47:35,2023-12-05 11:44:29
14,Rohit Chopra,Male,31,rohit.chopra93@gmail.com,+91-7827143233,PhD,IIT Kharagpur,Yes,Yes,https://linkedin.com/in/rohit-chopra-860,18,None,2023-09-27 05:12:13,2024-05-10 08:46:37
15,Arjun Menon,Male,33,arjun.menon47@gmail.com,+91-7770695571,M.Sc,NIT Warangal,Yes,Yes,https://linkedin.com/in/arjun-menon-825,18,Infosys,2019-01-28 01:03:35,2023-10-27 22:08:40
16,Arjun Sharma,Male,42,arjun.sharma61@gmail.com,+91-9056061866,CA,Delhi University,No,No,https://linkedin.com/in/arjun-sharma-288,2,Wipro,2021-05-10 03:52:04,2024-02-15 15:04:36
17,Rajesh Mishra,Male,49,rajesh.mishra39@gmail.com,+91-7365849190,B.Sc,XLRI,No,Yes,https://linkedin.com/in/rajesh-mishra-671,25,Zomato,2022-10-19 19:50:39,2023-08-20 16:24:28
